   PID   PGID    SID TTY          TIME CMD
     2      0      0 ?        00:00:00 kthreadd
     4      0      0 ?        00:00:00   kworker/0:0H
     6      0      0 ?        00:00:00   mm_percpu_wq
     7      0      0 ?        00:00:27   ksoftirqd/0
     8      0      0 ?        00:00:33   rcu_sched
     9      0      0 ?        00:00:00   rcu_bh
    10      0      0 ?        00:00:00   migration/0
    11      0      0 ?        00:00:00   watchdog/0
    12      0      0 ?        00:00:00   cpuhp/0
    13      0      0 ?        00:00:00   kdevtmpfs
    14      0      0 ?        00:00:00   netns
    15      0      0 ?        00:00:00   khungtaskd
    16      0      0 ?        00:00:00   oom_reaper
    17      0      0 ?        00:00:00   writeback
    18      0      0 ?        00:00:00   kcompactd0
    19      0      0 ?        00:00:00   ksmd
    20      0      0 ?        00:00:00   khugepaged
    21      0      0 ?        00:00:00   crypto
    22      0      0 ?        00:00:00   kintegrityd
    23      0      0 ?        00:00:00   kblockd
    24      0      0 ?        00:00:00   ata_sff
    25      0      0 ?        00:00:00   md
    26      0      0 ?        00:00:00   edac-poller
    27      0      0 ?        00:00:00   devfreq_wq
    28      0      0 ?        00:00:00   watchdogd
    32      0      0 ?        00:00:00   kauditd
    33      0      0 ?        00:01:04   kswapd0
    34      0      0 ?        00:00:00   ecryptfs-kthrea
    76      0      0 ?        00:00:00   kthrotld
    77      0      0 ?        00:00:00   acpi_thermal_pm
    78      0      0 ?        00:00:00   scsi_eh_0
    79      0      0 ?        00:00:00   scsi_tmf_0
    80      0      0 ?        00:00:00   scsi_eh_1
    81      0      0 ?        00:00:00   scsi_tmf_1
    87      0      0 ?        00:00:00   ipv6_addrconf
   113      0      0 ?        00:00:00   charger_manager
   161      0      0 ?        00:00:00   mpt_poll_0
   162      0      0 ?        00:00:00   mpt/0
   163      0      0 ?        00:00:00   scsi_eh_2
   164      0      0 ?        00:00:00   scsi_tmf_2
   165      0      0 ?        00:00:00   scsi_eh_3
   166      0      0 ?        00:00:00   scsi_tmf_3
   167      0      0 ?        00:00:00   scsi_eh_4
   168      0      0 ?        00:00:00   scsi_tmf_4
   169      0      0 ?        00:00:00   scsi_eh_5
   170      0      0 ?        00:00:00   scsi_tmf_5
   171      0      0 ?        00:00:00   scsi_eh_6
   172      0      0 ?        00:00:00   scsi_tmf_6
   173      0      0 ?        00:00:00   scsi_eh_7
   174      0      0 ?        00:00:00   scsi_tmf_7
   175      0      0 ?        00:00:00   scsi_eh_8
   176      0      0 ?        00:00:00   scsi_tmf_8
   177      0      0 ?        00:00:00   scsi_eh_9
   178      0      0 ?        00:00:00   scsi_tmf_9
   179      0      0 ?        00:00:00   scsi_eh_10
   180      0      0 ?        00:00:00   scsi_tmf_10
   181      0      0 ?        00:00:00   scsi_eh_11
   182      0      0 ?        00:00:00   scsi_tmf_11
   183      0      0 ?        00:00:00   scsi_eh_12
   184      0      0 ?        00:00:00   scsi_tmf_12
   185      0      0 ?        00:00:00   scsi_eh_13
   186      0      0 ?        00:00:00   scsi_tmf_13
   187      0      0 ?        00:00:00   scsi_eh_14
   188      0      0 ?        00:00:00   scsi_tmf_14
   189      0      0 ?        00:00:00   scsi_eh_15
   190      0      0 ?        00:00:00   scsi_tmf_15
   191      0      0 ?        00:00:00   scsi_eh_16
   192      0      0 ?        00:00:00   scsi_tmf_16
   193      0      0 ?        00:00:00   scsi_eh_17
   194      0      0 ?        00:00:00   scsi_tmf_17
   195      0      0 ?        00:00:00   scsi_eh_18
   196      0      0 ?        00:00:00   scsi_tmf_18
   197      0      0 ?        00:00:00   scsi_eh_19
   198      0      0 ?        00:00:00   scsi_tmf_19
   199      0      0 ?        00:00:00   scsi_eh_20
   200      0      0 ?        00:00:00   scsi_tmf_20
   201      0      0 ?        00:00:00   scsi_eh_21
   202      0      0 ?        00:00:00   scsi_tmf_21
   203      0      0 ?        00:00:00   scsi_eh_22
   204      0      0 ?        00:00:00   scsi_tmf_22
   205      0      0 ?        00:00:00   scsi_eh_23
   206      0      0 ?        00:00:00   scsi_tmf_23
   207      0      0 ?        00:00:00   scsi_eh_24
   208      0      0 ?        00:00:00   scsi_tmf_24
   209      0      0 ?        00:00:00   scsi_eh_25
   210      0      0 ?        00:00:00   scsi_tmf_25
   211      0      0 ?        00:00:00   scsi_eh_26
   212      0      0 ?        00:00:00   scsi_tmf_26
   213      0      0 ?        00:00:00   scsi_eh_27
   214      0      0 ?        00:00:00   scsi_tmf_27
   215      0      0 ?        00:00:00   scsi_eh_28
   216      0      0 ?        00:00:00   scsi_tmf_28
   217      0      0 ?        00:00:00   scsi_eh_29
   218      0      0 ?        00:00:00   scsi_tmf_29
   219      0      0 ?        00:00:00   scsi_eh_30
   220      0      0 ?        00:00:00   scsi_tmf_30
   221      0      0 ?        00:00:00   scsi_eh_31
   222      0      0 ?        00:00:00   scsi_tmf_31
   223      0      0 ?        00:00:00   scsi_eh_32
   224      0      0 ?        00:00:00   scsi_tmf_32
   252      0      0 ?        00:00:00   ttm_swap
   255      0      0 ?        00:00:22   kworker/0:1H
   279      0      0 ?        00:00:10   jbd2/sda1-8
   280      0      0 ?        00:00:00   ext4-rsv-conver
   589      0      0 ?        00:00:00   nfit
   614      0      0 ?        00:00:00   kworker/u257:0
   616      0      0 ?        00:00:00   kworker/u257:2
  1283      0      0 ?        00:00:00   krfcommd
 25732      0      0 ?        00:00:00   xfsalloc
 25733      0      0 ?        00:00:00   xfs_mru_cache
 25748      0      0 ?        00:00:00   jfsIO
 25749      0      0 ?        00:00:00   jfsCommit
 25750      0      0 ?        00:00:00   jfsSync
 45201      0      0 ?        00:00:00   kworker/u256:0
 45550      0      0 ?        00:00:01   kworker/0:1
 45752      0      0 ?        00:00:00   kworker/0:0
 45770      0      0 ?        00:00:00   kworker/u256:2
     1      1      1 ?        00:00:06 systemd
   314    314    314 ?        00:00:02   systemd-journal
   340    340    340 ?        00:00:00   systemd-udevd
   341    341    341 ?        00:00:00   vmware-vmblock-
   418    418    418 ?        00:00:00   systemd-timesyn
   782    782    782 ?        00:00:00   snapd
   785    785    785 ?        00:00:00   bluetoothd
   786    786    786 ?        00:00:00   acpid
   787    787    787 ?        00:00:00   rsyslogd
   788    788    788 ?        00:00:00   cron
   805    805    805 ?        00:03:14   vmtoolsd
   807    807    807 ?        00:00:03   accounts-daemon
   814    814    814 ?        00:00:03   dbus-daemon
   845    845    845 ?        00:00:03   NetworkManager
  1003   1003    845 ?        00:00:05     dnsmasq
 17061  17061    845 ?        00:00:00     dhclient
   853    853    853 ?        00:00:15   thermald
   866    866    866 ?        00:00:00   whoopsie
   867    867    867 ?        00:00:00   systemd-logind
   869    869    869 ?        00:00:00   ModemManager
   906    906    906 ?        00:00:00   polkitd
   923    923    923 ?        00:00:00   lightdm
   943    943    943 tty7     00:13:11     Xorg
  1366    923    923 ?        00:00:00     lightdm
  1403   1403   1403 ?        00:00:00       upstart
  1483   1481   1481 ?        00:00:00         upstart-udev-br
  1490   1490   1490 ?        00:00:07         dbus-daemon
  1502   1502   1502 ?        00:00:00         window-stack-br
  1536   1536   1536 ?        00:00:10         bamfdaemon
  1547   1546   1546 ?        00:00:01         upstart-dbus-br
  1550   1549   1549 ?        00:00:00         upstart-dbus-br
  1552   1551   1551 ?        00:00:00         upstart-file-br
  1556   1556   1556 ?        00:00:20         ibus-daemon
  1577   1556   1556 ?        00:00:00           ibus-dconf
  1583   1556   1556 ?        00:00:06           ibus-ui-gtk3
  1598   1556   1556 ?        00:00:05           ibus-engine-sim
  1562   1490   1490 ?        00:00:00         gvfsd
  1569   1490   1490 ?        00:00:00         gvfsd-fuse
  1588   1588   1588 ?        00:00:06         gpg-agent
  1589   1556   1556 ?        00:00:00         ibus-x11
  1610   1610   1610 ?        00:00:02         hud-service
  1612   1612   1612 ?        00:00:07         unity-settings-
  1620   1620   1620 ?        00:00:00         at-spi-bus-laun
  1632   1620   1620 ?        00:00:00           dbus-daemon
  1621   1621   1621 ?        00:00:00         gnome-session-b
  1769   1621   1621 ?        00:00:00           polkit-gnome-au
  1771   1621   1621 ?        00:00:02           nm-applet
  1772   1621   1621 ?        00:00:30           nautilus
  1774   1621   1621 ?        00:00:19           gnome-software
  1776   1621   1621 ?        00:00:00           unity-fallback-
  1968   1621   1621 ?        00:00:03           zeitgeist-datah
  2077   1621   1621 ?        00:00:04           update-notifier
  2463   1621   1621 ?        00:00:00           deja-dup-monito
  1624   1624   1624 ?        00:00:13         unity-panel-ser
  1637   1620   1620 ?        00:00:02         at-spi2-registr
  1655   1490   1490 ?        00:00:00         dconf-service
  1662   1662   1662 ?        00:00:00         indicator-messa
  1666   1666   1666 ?        00:00:00         indicator-bluet
  1669   1669   1669 ?        00:00:00         indicator-power
  1673   1673   1673 ?        00:00:03         indicator-datet
  1674   1674   1674 ?        00:00:00         indicator-keybo
  1677   1677   1677 ?        00:00:00         indicator-sound
  1684   1684   1684 ?        00:00:00         indicator-print
  1687   1687   1687 ?        00:00:00         indicator-sessi
  1690   1690   1690 ?        00:23:36         compiz
  1709   1709   1709 ?        00:00:00         indicator-appli
  1716   1490   1490 ?        00:00:00         evolution-sourc
  1725   1724   1724 ?        00:00:02         pulseaudio
  1765   1490   1490 ?        00:00:00         evolution-calen
  1838   1490   1490 ?        00:00:00           evolution-calen
  1857   1490   1490 ?        00:00:00           evolution-calen
  1780   1621   1621 ?        00:03:41         vmtoolsd
  1784   1490   1490 ?        00:00:00         gvfs-udisks2-vo
  1808   1490   1490 ?        00:00:00         gvfs-goa-volume
  1818   1490   1490 ?        00:00:00         gvfs-afc-volume
  1824   1490   1490 ?        00:00:00         gvfs-mtp-volume
  1829   1490   1490 ?        00:00:00         gvfs-gphoto2-vo
  1860   1490   1490 ?        00:00:00         evolution-addre
  1882   1490   1490 ?        00:00:00           evolution-addre
  1867   1490   1490 ?        00:00:00         gvfsd-trash
  1934   1490   1490 ?        00:00:00         gvfsd-metadata
  1977   1490   1490 ?        00:00:00         sh
  1987   1490   1490 ?        00:00:00           zeitgeist-daemo
  1994   1490   1490 ?        00:00:18         gnome-terminal-
  2015   2015   2015 pts/18   00:00:00           bash
  2025   2025   2015 pts/18   00:00:00             sudo
  2026   2026   2015 pts/18   00:00:00               bash
 44734  44734   2015 pts/18   00:00:00                 runner.sh
 45907  45907   2015 pts/18   00:00:00                 runner.sh
 45910  45907   2015 pts/18   00:00:00                   ps
  1997   1490   1490 ?        00:00:01         zeitgeist-fts
  2523   1490   1490 ?        00:00:09         notify-osd
  3202   1690   1690 ?        00:07:19         atom
  3206   1690   1690 ?        00:00:00           atom
  3243   1690   1690 ?        00:05:01             atom
  3279   1690   1690 ?        00:00:01               atom
  3232   1690   1690 ?        00:01:47           atom
  3217   1490   1490 ?        00:00:00         gconfd-2
  3334   1490   1490 ?        00:00:00         gvfsd-network
  3351   1490   1490 ?        00:00:00         gvfsd-dnssd
  3407   1690   1690 ?        00:26:00         firefox
  3516   1690   1690 ?        00:46:45           Web Content
  3603   1690   1690 ?        00:01:06           Web Content
  3663   1690   1690 ?        00:12:22           Web Content
  4148   1690   1690 ?        00:17:16           Web Content
   929    929    929 tty1     00:00:00   agetty
  1269   1269   1269 ?        00:00:01   rtkit-daemon
  1293   1293   1293 ?        00:00:00   upowerd
  1311   1311   1311 ?        00:00:00   colord
  1374   1374   1374 ?        00:00:00   systemd
  1375   1374   1374 ?        00:00:00     (sd-pam)
  1393   1392   1392 ?        00:00:00   gnome-keyring-d
  1790   1790   1790 ?        00:00:00   udisksd
  1847    814    814 ?        00:00:02   fwupd
 11093  11093  11093 ?        00:00:00   avahi-daemon
 11097  11093  11093 ?        00:00:00     avahi-daemon
 45153  45153  45153 ?        00:00:00   cups-browsed
